"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023103000,2023,"REG",8,59294,"10/30/2023","20:15:00",NULL,"1540","2520","DET","LV","Detroit Lions","Las Vegas Raiders","Lions","Raiders",2026,"Detroit","Ford Field","MI","INDOOR","ABC","00:00","FINAL","FINAL",14,0,7,7,0,0,0,26,3,13,7,3,0,3,NULL,"-7.5","45.5"
2023091003,2023,"REG",1,59177,"09/10/2023","13:00:00",NULL,"2200","2250","IND","JAX","Indianapolis Colts","Jacksonville Jaguars","Colts","Jaguars",2878,"Indianapolis","Lucas Oil Stadium","IN","INDOOR","FOX","00:00","FINAL","FINAL",31,7,7,3,14,0,3,21,0,7,14,0,0,0,NULL,"3.5","44.5"
2023091100,2023,"REG",1,59188,"09/11/2023","20:15:00",NULL,"3430","0610","NYJ","BUF","New York Jets","Buffalo Bills","Jets","Bills",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","ABC","00:00","FINAL OVERTIME","FINAL",16,3,10,0,3,0,2,22,0,3,3,10,6,2,NULL,"1.5","45.5"
2023092401,2023,"REG",3,59207,"09/24/2023","13:00:00",NULL,"1050","2100","CLE","TEN","Cleveland Browns","Tennessee Titans","Browns","Titans",1048,"Cleveland","Cleveland Browns Stadium","OH","OUTDOOR","CBS","00:00","FINAL","FINAL",3,0,3,0,0,0,2,27,3,10,7,7,0,3,NULL,"-3.5","38.5"
2023110600,2023,"REG",9,59308,"11/06/2023","20:15:00",NULL,"3430","4400","NYJ","LAC","New York Jets","Los Angeles Chargers","Jets","Chargers",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","ABC","00:00","FINAL","FINAL",27,14,3,0,10,0,3,6,0,3,3,0,0,1,NULL,"3.5","40.5"
2023111904,2023,"REG",11,59328,"11/19/2023","13:00:00",NULL,"2120","3800","HOU","ARI","Houston Texans","Arizona Cardinals","Texans","Cardinals",3698,"Houston","NRG Stadium","TX","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023101507,2023,"REG",6,59259,"10/15/2023","13:00:00",NULL,"2700","0750","MIA","CAR","Miami Dolphins","Carolina Panthers","Dolphins","Panthers",2475,"Opa Locka","Hard Rock Stadium","FL","OUTDOOR","CBS","00:00","FINAL","FINAL",21,14,0,0,7,0,0,42,0,21,7,14,0,3,NULL,"-14.5","47.5"
2023110509,2023,"REG",9,59305,"11/05/2023","16:25:00",NULL,"2520","3410","LV","NYG","Las Vegas Raiders","New York Giants","Raiders","Giants",1510,"Paradise","Allegiant Stadium","NV","INDOOR","FOX","00:00","FINAL","FINAL",6,0,0,0,6,0,1,30,7,17,3,3,0,1,NULL,"-1.5","38.5"
2023111202,2023,"REG",10,59312,"11/12/2023","13:00:00",NULL,"0920","2120","CIN","HOU","Cincinnati Bengals","Houston Texans","Bengals","Texans",3530,"Cincinnati","Paycor Stadium","OH","OUTDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023111300,2023,"REG",10,59322,"11/13/2023","20:15:00",NULL,"0610","1400","BUF","DEN","Buffalo Bills","Denver Broncos","Bills","Broncos",3770,"Orchard Park","Highmark Stadium","NY","OUTDOOR","ABC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
